step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
359,343900,1436,0.18595603743289113,0.25,0.9310344827586207
360,345280,1440,0.09107277855899579,0.5,0.972972972972973
361,346052,1444,0.1677427207076567,0.5,0.9705882352941176
362,347048,1448,0.16645139709790974,0.25,0.9642857142857143
363,348332,1452,0.10539707708323405,0.5,0.95
364,349168,1456,0.10139187088850043,0.5,0.9764705882352941
365,350228,1460,0.12240768788486969,0.5,0.9787234042553191
366,351672,1464,0.14002784669420262,0.5,0.9895833333333334
367,352252,1468,0.15745470247049334,0.75,0.9761904761904762
368,352704,1472,0.15305896376543668,1.0,1.0
369,354148,1476,0.12150098360357144,0.5,0.9663865546218487
370,355016,1480,0.15254045660451102,0.5,0.9891891891891892
371,355724,1484,0.18375486777095207,0.5,0.9423076923076923
372,356240,1488,0.13667323914095833,1.0,1.0
373,356916,1492,0.16804764879398976,0.25,0.953125
374,357720,1496,0.22045994956311016,0.5,0.9655172413793104
375,358428,1500,0.10349816955976188,1.0,1.0
376,360704,1504,0.11565176269117503,0.75,0.9875776397515528
377,361284,1508,0.11948912854866996,0.75,0.9767441860465116
378,362088,1512,0.12936008812294114,0.75,0.9938271604938271
379,363404,1516,0.12397450792064904,0.5,0.9831932773109243
380,364208,1520,0.10888075932503664,0.5,0.9854014598540146
381,365748,1524,0.11884494683428624,0.25,0.9464285714285714
382,366712,1528,0.16344267647988206,0.25,0.9583333333333334
383,368220,1532,0.11847360052605511,0.5,0.9844961240310077
384,369152,1536,0.18707694067693803,0.0,0.948051948051948
385,369732,1540,0.1461425339877063,0.5,0.9746835443037974
386,371144,1544,0.07797900021428164,0.75,0.9931506849315068
387,371948,1548,0.12772620433670034,0.75,0.9894736842105263
388,373296,1552,0.1439965014201154,0.5,0.9
389,375828,1556,0.10386950261098138,0.75,0.9908256880733946
390,376472,1560,0.15472100541231745,0.5,0.9534883720930233
391,377372,1564,0.11543914378098484,0.5,0.979381443298969
392,378400,1568,0.16174922695117336,0.5,0.9545454545454546
393,379300,1572,0.13753892302936738,0.75,0.989247311827957
394,380360,1576,0.1562416800970418,0.0,0.9207920792079208
395,381260,1580,0.1183380906390916,0.5,0.9745762711864406
396,382032,1584,0.13324198224174458,0.5,0.9682539682539683
397,383060,1588,0.1514917502017445,0.5,0.9583333333333334
398,384120,1592,0.15542864435635612,0.25,0.9294117647058824
399,385724,1596,0.11815487821657848,0.5,0.9761904761904762
400,386688,1600,0.14163377037974056,0.5,0.9411764705882353
401,387940,1604,0.13268503368746282,0.5,0.984251968503937
402,388840,1608,0.10178137892112384,0.25,0.9444444444444444
403,389548,1612,0.17321817798184388,0.25,0.97
404,390544,1616,0.1433887382566998,0.0,0.9512195121951219
405,391828,1620,0.09805808606486954,0.5,0.9902439024390244
406,392536,1624,0.17836242720579246,0.25,0.9659090909090909
407,394492,1628,0.11103223123240515,0.25,0.9724770642201835
408,395360,1632,0.1448735990849376,0.5,0.9649122807017544
409,396068,1636,0.13958975314405422,0.75,0.9923076923076923
410,396648,1640,0.20339776454855654,0.25,0.9538461538461539
411,399628,1644,0.11749142413483098,0.25,0.9863013698630136
412,400848,1648,0.07994174291934981,1.0,1.0
413,402196,1652,0.11519058829273772,0.5,0.9682539682539683
414,402584,1656,0.12354890970775802,1.0,1.0
415,403388,1660,0.11347738906103265,0.75,0.9904761904761905
416,404544,1664,0.12326422673200385,0.75,0.9938650306748467
417,405604,1668,0.11918931339895104,0.75,0.9926470588235294
418,406632,1672,0.11287625819889283,0.5,0.9761904761904762
419,407180,1676,0.14460336157536832,0.75,0.9859154929577465
420,407792,1680,0.17754043681255358,0.5,0.9758064516129032
421,408564,1684,0.1279107267580978,0.0,0.9298245614035088
422,410136,1688,0.10216971728618193,0.5,0.967741935483871
423,411612,1692,0.13325095474475881,0.5,0.9864253393665159
424,412512,1696,0.15583167708889287,0.75,0.99
425,413636,1700,0.13225307054636953,0.25,0.9285714285714286
426,414632,1704,0.18293499443626315,0.0,0.9382716049382716
427,415532,1708,0.10988416840493899,0.75,0.99
428,416016,1712,0.16984201392672912,1.0,1.0
429,417684,1716,0.10629153095014918,0.5,0.9838709677419355
430,418328,1720,0.14000500514593867,0.0,0.8372093023255814
431,419228,1724,0.1131091552865854,0.25,0.9523809523809523
432,421408,1728,0.12440552490249128,0.25,0.9298245614035088
433,422916,1732,0.11186799881791042,0.25,0.9739130434782609
434,424040,1736,0.13386570330061964,0.25,0.9285714285714286
435,425132,1740,0.0974027443839596,0.75,0.9923664122137404
436,426352,1744,0.0966277517154367,0.75,0.9927007299270073
437,427348,1748,0.13226384826360238,0.75,0.9910714285714286
438,429048,1752,0.11285402743377967,0.0,0.9411764705882353
